domain,bertscore_gold_median,bertscore_dist_median,drop_dist_pp_median,bertscore_gold_median_percent,bertscore_dist_median_percent
geography,0.9999987483024597,0.9999987483024597,0.0,99.99987483024597,99.99987483024597
history,0.9999996423721313,0.9999996423721313,0.0,99.99996423721313,99.99996423721313
literature,1.0000001788139343,1.0000001788139343,0.0,100.00001788139343,100.00001788139343
politics,0.9999991059303284,0.9999985694885254,0.0,99.99991059303284,99.99985694885254
science,0.9999987483024597,0.9999987483024597,0.0,99.99987483024597,99.99987483024597
