domain,bertscore_gold_median,bertscore_dist_median,drop_dist_pp_median,bertscore_gold_median_percent,bertscore_dist_median_percent
geography,0.9999985694885254,0.9999983906745911,0.0,99.99985694885254,99.9998390674591
history,0.9999998211860657,1.0,0.0,99.99998211860657,100.0
literature,0.9999998211860657,0.9999992847442627,0.0,99.99998211860657,99.99992847442627
politics,0.9084694087505341,0.9204770922660828,0.0,90.8469408750534,92.04770922660828
science,0.8787614405155182,0.8787614405155182,0.0,87.87614405155182,87.87614405155182
