Model,geography_EM,geography_F1,history_EM,history_F1,literature_EM,literature_F1,politics_EM,politics_F1,science_EM,science_F1
gemini_pro,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,100.0,100.0
gpt4o,90.0,96.66666666666666,90.0,96.66666666666666,100.0,100.0,70.0,85.33333333333333,80.0,94.66666666666667
gpt4o_mini,80.0,91.66666666666666,90.0,96.66666666666666,100.0,100.0,70.0,86.74603174603173,100.0,100.0
llama31_8b,70.0,91.33333333333333,90.0,96.66666666666666,100.0,100.0,50.0,81.74603174603175,80.0,94.66666666666667
mistral7b,70.0,88.30303030303031,80.0,89.5238095238095,100.0,100.0,60.0,85.48717948717949,80.0,83.76068376068375
Avg.,82.0,93.5939393939394,90.0,95.9047619047619,100.0,100.0,68.0,86.86251526251526,88.0,94.61880341880342
