Model,Gold F1,Avg F1,Avg |ΔF1| (pp),p50 (ms),Efficiency (F1/s),Composite ↑
gemini_pro,99.0,96.66666666666666,3.1111111111111236,513.0,192.98245614035088,95.1111111111111
gpt4o_mini,95.015873015873,93.46587301587302,2.066666666666644,648.0,146.62943366647067,92.4325396825397
gpt4o,94.66666666666666,92.01190476190476,3.539682539682545,714.5,132.493585257756,90.2420634920635
llama31_8b,92.88253968253969,90.12698412698413,3.6740740740740754,874.5,106.21216658952508,88.28994708994709
mistral7b,89.41494061494062,87.57305472305472,2.455847855847859,904.5,98.85565573791114,86.3451307951308
