Model,Gold_EM,Gold_F1,Gold_BERT,Para_EM,Para_F1,Para_BERT,Dist_EM,Dist_F1,Dist_BERT,Para+Dist_EM,Para+Dist_F1,Para+Dist_BERT
gemini_pro,98.0,99.0,100.0,92.0,94.33333333333331,99.99998211860657,98.0,99.0,100.0,92.0,94.33333333333331,99.99998211860657
gpt4o,86.0,94.66666666666666,99.99991059303284,82.0,90.50476190476188,99.99987483024597,86.0,92.97142857142856,99.9998927116394,80.0,89.9047619047619,99.99985694885254
gpt4o_mini,88.0,95.015873015873,100.0,88.0,92.23809523809524,100.0,88.0,94.10476190476192,99.99998211860657,88.0,92.5047619047619,99.99998211860657
llama31_8b,78.0,92.88253968253969,99.99996423721312,76.0,88.94920634920635,99.99996423721312,72.0,90.63809523809525,99.99996423721312,72.0,88.03809523809524,99.99996423721312
mistral7b,78.0,89.41494061494062,100.0,82.0,87.78417138417139,100.0,80.0,88.16661116661116,99.99996423721312,76.0,84.92649572649573,100.0
