Model,ΔEM_Para,ΔEM_Dist,ΔEM_Both,ΔF1_Para,ΔF1_Dist,ΔF1_Both,p50_ms,p90_ms
gemini_pro,-6.0,0.0,-6.0,-4.666666666666686,0.0,-4.666666666666686,513.0,807.1000000000003
gpt4o,-4.0,0.0,-6.0,-4.161904761904779,-1.6952380952380963,-4.761904761904759,714.5,1004.7000000000002
gpt4o_mini,0.0,0.0,0.0,-2.7777777777777573,-0.911111111111083,-2.5111111111110915,648.0,921.0
llama31_8b,-2.0,-6.0,-6.0,-3.933333333333337,-2.24444444444444,-4.8444444444444485,874.5,1024.0
mistral7b,4.0,2.0,-2.0,-1.630769230769232,-1.2483294483294571,-4.488444888444889,904.5,1025.0
