qid,domain,bertscore_dist,bertscore_gold,bertscore_para,bertscore_para_dist,bertscore_gold_percent,bertscore_para_percent,bertscore_dist_percent,bertscore_para_dist_percent,drop_bertscore_para_pp,drop_bertscore_dist_pp,drop_bertscore_para_dist_pp
GEO001,geography,0.9811418652534485,0.9682058691978455,0.9999996423721313,0.9999996423721313,96.82058691978455,99.99996423721313,98.11418652534485,99.99996423721313,3.179377317428589,1.2935996055603027,3.179377317428589
GEO002,geography,0.9833335876464844,0.9833335876464844,0.9833335876464844,0.9833335876464844,98.33335876464844,98.33335876464844,98.33335876464844,98.33335876464844,0.0,0.0,0.0
GEO003,geography,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,99.99992847442627,99.99992847442627,99.99992847442627,99.99992847442627,0.0,0.0,0.0
GEO004,geography,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.9999978542327881,99.99978542327881,99.99978542327881,99.99978542327881,99.99978542327881,0.0,0.0,0.0
GEO005,geography,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,100.00014305114746,100.00014305114746,100.00014305114746,100.00014305114746,0.0,0.0,0.0
GEO006,geography,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
GEO007,geography,0.9999985694885254,0.9999985694885254,0.9999985694885254,0.9999985694885254,99.99985694885254,99.99985694885254,99.99985694885254,99.99985694885254,0.0,0.0,0.0
GEO008,geography,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,99.9998927116394,99.9998927116394,99.9998927116394,99.9998927116394,0.0,0.0,0.0
GEO009,geography,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,99.99992847442627,99.99992847442627,99.99992847442627,99.99992847442627,0.0,0.0,0.0
GEO010,geography,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,100.00007152557373,100.00007152557373,100.00007152557373,100.00007152557373,0.0,0.0,0.0
HIST001,history,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
HIST002,history,1.0000014305114746,1.0000014305114746,0.18381620943546295,0.18381620943546295,100.00014305114746,18.381620943546295,100.00014305114746,18.381620943546295,-81.61852210760117,0.0,-81.61852210760117
HIST003,history,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
HIST004,history,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,99.99996423721313,99.99996423721313,99.99996423721313,99.99996423721313,0.0,0.0,0.0
HIST005,history,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,100.00014305114746,100.00014305114746,100.00014305114746,100.00014305114746,0.0,0.0,0.0
HIST006,history,0.9999996423721313,0.9999996423721313,0.15624555945396423,0.0048217205330729485,99.99996423721313,15.624555945396423,99.99996423721313,0.48217205330729485,-84.37540829181671,0.0,-99.51779218390584
HIST007,history,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,100.00014305114746,100.00014305114746,100.00014305114746,100.00014305114746,0.0,0.0,0.0
HIST008,history,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,99.99992847442627,99.99992847442627,99.99992847442627,99.99992847442627,0.0,0.0,0.0
HIST009,history,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,100.00014305114746,100.00014305114746,100.00014305114746,100.00014305114746,0.0,0.0,0.0
HIST010,history,1.0000014305114746,0.26290860772132874,0.26290860772132874,1.0000014305114746,26.290860772132874,26.290860772132874,100.00014305114746,100.00014305114746,0.0,73.70928227901459,73.70928227901459
LIT001,literature,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
LIT002,literature,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
LIT003,literature,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
LIT004,literature,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,99.99992847442627,99.99992847442627,99.99992847442627,99.99992847442627,0.0,0.0,0.0
LIT005,literature,0.3255566954612732,1.0,1.0,0.3255566954612732,100.0,100.0,32.55566954612732,32.55566954612732,0.0,-67.44433045387268,-67.44433045387268
LIT006,literature,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,99.99996423721313,99.99996423721313,99.99996423721313,99.99996423721313,0.0,0.0,0.0
LIT007,literature,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,99.99992847442627,99.99992847442627,99.99992847442627,99.99992847442627,0.0,0.0,0.0
LIT008,literature,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
LIT009,literature,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,99.99996423721313,99.99996423721313,99.99996423721313,99.99996423721313,0.0,0.0,0.0
LIT010,literature,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,100.00007152557373,100.00007152557373,100.00007152557373,100.00007152557373,0.0,0.0,0.0
POL001,politics,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,100.00007152557373,100.00007152557373,100.00007152557373,100.00007152557373,0.0,0.0,0.0
POL002,politics,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,100.00014305114746,100.00014305114746,100.00014305114746,100.00014305114746,0.0,0.0,0.0
POL003,politics,0.6080389618873596,0.6080389618873596,0.6080389618873596,0.6080389618873596,60.80389618873596,60.80389618873596,60.80389618873596,60.80389618873596,0.0,0.0,0.0
