model,setting,n_items,em_mean_percent,f1_mean_of_medians_percent,latency_p50_ms,refusal_rate_percent,invalid_rate_percent,stability_mad_f1_median,f1_median_percent,drop_em_vs_gold_pp,drop_f1_vs_gold_pp
gpt4o_mini,gold,50,88.0,95.01587301587301,700.0,0.0,0.0,0.0,95.01587301587301,,
gpt4o_mini,para,50,88.0,92.23809523809524,623.5,0.0,0.0,0.0,92.23809523809524,0.0,-2.7777777777777715
gpt4o_mini,dist,50,88.0,94.10476190476192,631.0,0.0,0.0,0.0,94.10476190476192,0.0,-0.9111111111110972
gpt4o_mini,para_dist,50,88.0,92.5047619047619,655.0,0.0,0.0,0.0,92.5047619047619,0.0,-2.5111111111111057
