domain,bertscore_gold_median,bertscore_dist_median,drop_dist_pp_median,bertscore_gold_median_percent,bertscore_dist_median_percent
geography,0.9999973773956299,0.9999961256980896,0.0,99.99973773956299,99.99961256980896
history,0.9999991059303284,0.9999991059303284,0.0,99.99991059303284,99.99991059303284
literature,1.0000001788139343,1.0000001788139343,0.0,100.00001788139343,100.00001788139343
politics,0.9999982416629791,0.9879898428916931,0.0,99.99982416629791,98.79898428916931
science,0.9999996423721313,0.9999996423721313,0.0,99.99996423721313,99.99996423721313
